(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5
9.0 19.8 94.45 93.56 94.00 94.23 94.91 101.41 102.40 113.15 114.24 116.67 117.80 105.63 104.62 105.11 104.87 124.46 123.28 135.54 98.47 138.88
9.5 20.9 97.60 96.66 97.13 97.36 98.07 104.74 105.75 116.67 117.80 120.30 121.47 109.11 108.05 108.58 108.31 128.48 127.23 139.77 101.71 143.23
10.0 22.0 100.73 99.74 100.24 100.48 101.21 108.05 109.10 120.17 121.34 123.92 125.13 112.56 111.48 112.01 111.76 132.47 131.21 144.02 104.94 147.54
10.5 23.1 103.84 102.84 103.33 103.58 104.34 111.34 112.43 123.65 124.86 127.52 128.77 116.01 114.89 115.45 115.17 136.44 135.15 148.23 108.15 151.87
11.0 24.2 106.92 105.91 106.41 106.67 107.44 114.63 115.74 127.14 128.35 131.12 132.40 119.42 118.27 118.85 118.56 140.42 139.07 152.42 111.33 156.15
11.5 25.3 110.01 108.96 109.48 109.75 110.56 117.89 119.04 130.59 131.86 134.69 136.02 122.84 121.66 122.26 121.95 144.34 142.97 156.59 114.51 160.42
12.0 26.4 113.07 112.00 112.54 112.81 113.63 121.13 122.32 134.04 135.32 138.25 139.61 126.24 125.01 125.64 125.33 148.29 146.85 160.76 117.69 164.67
12.5 27.5 116.13 115.02 115.57 115.85 116.70 124.38 125.59 137.46 138.79 141.81 143.19 129.61 128.37 129.00 128.68 152.18 150.72 164.88 120.83 168.91
13.0 28.6 119.18 118.05 118.61 118.89 119.76 127.62 128.84 140.87 142.23 145.33 146.75 132.98 131.70 132.35 132.02 156.08 154.59 169.00 123.98 173.12
13.5 29.7 122.20 121.05 121.63 121.92 122.80 130.81 132.07 144.26 145.68 148.85 150.29 136.34 135.02 135.69 135.34 159.95 158.42 173.10 127.10 177.31
14.0 30.8 125.23 124.03 124.63 124.93 125.83 134.01 135.30 147.65 149.08 152.35 153.83 139.67 138.33 139.00 138.67 163.81 162.23 177.19 130.21 181.49
14.5 31.9 128.24 127.00 127.63 127.93 128.85 137.18 138.51 151.02 152.47 155.82 157.33 142.99 141.62 142.30 141.95 167.63 166.03 181.24 133.29 185.65
15.0 33.0 131.23 129.96 130.59 130.92 131.85 140.34 141.70 154.37 155.86 159.28 160.83 146.30 144.88 145.59 145.23 171.45 169.80 185.30 136.38 189.78
15.5 34.1 134.19 132.90 133.54 133.86 134.85 143.49 144.88 157.69 159.22 162.74 164.31 149.59 148.14 148.87 148.51 175.26 173.57 189.31 139.45 193.90
16.0 35.2 140.39 139.04 139.71 140.05 141.08 150.08 151.55 164.82 166.40 170.09 171.73 156.47 154.97 155.71 155.34 183.26 181.51 197.88 145.87 202.67
16.5 36.3 143.40 142.02 142.71 143.06 144.09 153.29 154.76 168.19 169.83 173.60 175.27 159.82 158.28 159.04 158.65 187.12 185.32 201.96 148.98 206.85
17.0 37.4 146.41 145.00 145.70 146.06 147.11 156.46 157.98 171.56 173.22 177.06 178.78 163.12 161.56 162.34 161.95 190.96 189.12 206.04 152.07 211.01
17.5 38.5 149.40 147.95 148.69 149.04 150.10 159.62 161.17 174.91 176.61 180.53 182.28 166.43 164.83 165.64 165.22 194.77 192.91 210.07 155.16 215.15
18.0 39.6 152.37 150.90 151.62 152.00 153.10 162.76 164.34 178.23 179.97 183.97 185.77 169.73 168.09 168.92 168.49 198.56 196.66 214.10 158.23 219.26
18.5 40.7 155.32 153.83 154.58 154.96 156.07 165.90 167.51 181.55 183.32 187.40 189.23 172.98 171.33 172.16 171.74 202.36 200.40 218.10 161.26 223.35
19.0 41.8 158.28 156.75 157.50 157.90 159.02 169.01 170.66 184.87 186.65 190.82 192.67 176.27 174.55 175.41 174.97 206.11 204.15 222.08 164.31 227.42
19.5 42.9 161.20 159.65 160.42 160.80 161.97 172.12 173.78 188.14 189.96 194.21 196.09 179.49 177.78 178.63 178.20 209.86 207.84 226.05 167.34 231.49
20.0 44.0 164.12 162.54 163.32 163.73 164.89 175.21 176.91 191.42 193.26 197.60 199.51 182.72 180.97 181.84 181.39 213.58 211.54 230.00 170.33 235.51
20.5 45.1 166.88 165.29 166.07 166.49 167.69 178.10 179.81 194.50 196.38 200.78 202.73 185.73 183.95 184.85 184.39 217.10 215.01 233.68 173.14 239.30
21.0 46.2 169.63 168.01 168.80 169.23 170.45 180.96 182.72 197.57 199.48 203.95 205.93 188.73 186.92 187.83 187.37 220.57 218.46 237.35 175.95 243.08
21.5 47.3 172.37 170.70 171.54 171.94 173.20 183.80 185.60 200.61 202.56 207.10 209.11 191.71 189.87 190.80 190.35 224.06 221.89 241.00 178.73 246.84
22.0 48.4 175.10 173.41 174.25 174.67 175.92 186.65 188.47 203.65 205.63 210.22 212.27 194.70 192.82 193.76 193.29 227.51 225.31 244.63 181.50 250.57
22.5 49.5 179.51 177.77 178.64 179.07 180.36 191.29 193.14 208.65 210.68 215.40 217.49 199.54 197.61 198.58 198.11 233.15 230.92 250.62 186.01 256.73
23.0 50.6 182.22 180.48 181.36 181.79 183.10 194.13 196.01 211.70 213.74 218.54 220.66 202.51 200.56 201.54 201.06 236.61 234.32 254.25 188.78 260.45
23.5 51.7 184.94 183.15 184.05 184.49 185.83 196.94 198.85 214.70 216.78 221.66 223.80 205.46 203.48 204.48 203.99 240.04 237.72 257.87 191.53 264.17
24.0 52.8 187.63 185.83 186.74 187.17 188.54 199.74 201.70 217.72 219.84 224.76 226.93 208.41 206.41 207.40 206.90 243.44 241.12 261.46 194.28 267.87
24.5 53.9 190.32 188.50 189.41 189.86 191.24 202.56 204.51 220.70 222.86 227.84 230.06 211.34 209.30 210.31 209.81 246.84 244.49 265.04 197.00 271.55
25.0 55.0 192.99 191.13 192.05 192.51 193.91 205.33 207.32 223.67 225.86 230.92 233.15 214.24 212.18 213.22 212.70 250.23 247.82 268.61 199.72 275.21
25.5 56.1 195.64 193.75 194.71 195.17 196.59 208.09 210.12 226.64 228.85 233.96 236.24 217.12 215.05 216.09 215.56 253.57 251.14 272.16 202.41 278.84
26.0 57.2 198.27 196.38 197.32 197.80 199.23 210.83 212.89 229.59 231.82 237.00 239.30 220.02 217.90 218.95 218.42 256.93 254.46 275.66 205.09 282.48
26.5 58.3 200.91 198.98 199.94 200.43 201.88 213.58 215.66 232.51 234.76 240.03 242.36 222.88 220.73 221.81 221.27 260.27 257.76 279.17 207.77 286.06
27.0 59.4 203.51 201.56 202.54 203.03 204.49 216.31 218.40 235.43 237.71 243.03 245.40 225.72 223.55 224.64 224.10 263.57 261.03 282.67 210.42 289.65
27.5 60.5 206.12 204.13 205.13 205.62 207.11 219.00 221.14 238.33 240.63 246.02 248.40 228.56 226.36 227.46 226.91 266.87 264.30 286.12 213.07 293.20
28.0 61.6 208.69 206.71 207.71 208.20 209.70 221.71 223.85 241.20 243.55 249.00 251.42 231.38 229.15 230.28 229.72 270.15 267.54 289.57 215.70 296.76
28.5 62.7 211.27 209.24 210.26 210.76 212.29 224.39 226.55 244.06 246.44 251.96 254.40 234.18 231.93 233.06 232.49 273.39 270.77 292.99 218.31 300.28
29.0 63.8 213.84 211.78 212.80 213.32 214.86 227.05 229.25 246.93 249.32 254.91 257.38 236.97 234.70 235.83 235.26 276.65 273.97 296.42 220.91 303.79
29.5 64.9 216.38 214.30 215.33 215.85 217.41 229.69 231.92 249.75 252.19 257.82 260.34 239.74 237.43 238.60 238.01 279.86 277.17 299.79 223.49 307.28
30.0 66.0 218.90 216.80 217.86 218.39 219.96 232.32 234.59 252.59 255.03 260.74 263.29 242.50 240.17 241.34 240.76 283.08 280.35 303.18 226.06 310.74
