(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5 J1 J2
5.5 12.1 43.15 42.74 42.90 43.15 43.36 47.25 47.73 59.82 60.42 62.38 63.01 58.73 58.17 58.30 58.17 65.56 64.92 80.44 54.62 80.82 51.35 56.08
6.0 13.2 44.72 44.29 44.45 44.72 44.93 49.06 49.54 61.84 62.46 64.50 65.12 61.63 61.02 61.19 61.04 68.77 68.09 84.27 57.32 84.75 54.41 59.38
6.5 14.3 46.28 45.83 46.01 46.28 46.51 50.83 51.33 63.82 64.47 66.59 67.24 64.51 63.90 64.04 63.90 71.98 71.27 88.07 60.00 88.65 57.42 62.67
7.0 15.4 47.83 47.37 47.55 47.83 48.06 52.61 53.13 65.82 66.48 68.69 69.35 67.37 66.73 66.90 66.73 75.15 74.43 91.86 62.65 92.55 60.46 65.92
7.5 16.5 49.37 48.90 49.09 49.37 49.61 54.37 54.91 67.80 68.48 70.75 71.46 70.23 69.56 69.71 69.56 78.34 77.55 95.65 65.32 96.41 63.48 69.18
8.0 17.6 50.91 50.42 50.62 50.91 51.16 56.13 56.68 69.79 70.47 72.81 73.54 73.07 72.38 72.54 72.38 81.49 80.69 99.41 67.96 100.28 66.48 72.42
8.5 18.7 52.45 51.94 52.13 52.45 52.69 57.88 58.43 71.75 72.46 74.87 75.62 75.92 75.17 75.36 75.18 84.63 83.80 103.16 70.60 104.10 69.47 75.66
9.0 19.8 53.98 53.44 53.66 53.98 54.22 59.60 60.19 73.69 74.43 76.93 77.70 78.73 77.96 78.17 77.98 87.77 86.90 106.90 73.22 107.92 72.46 78.90
9.5 20.9 55.49 54.95 55.17 55.49 55.76 61.34 61.94 75.64 76.40 78.99 79.74 81.54 80.75 80.95 80.76 90.88 89.97 110.59 75.84 111.74 75.45 82.11
10.0 22.0 56.99 56.44 56.67 56.99 57.29 63.07 63.69 77.59 78.35 81.02 81.80 84.34 83.52 83.73 83.52 93.99 93.06 114.30 78.44 115.52 79.67 86.03
10.5 23.1 58.46 57.88 58.11 58.46 58.73 64.70 65.34 79.44 80.25 82.94 83.76 86.99 86.16 86.37 86.15 96.99 96.04 117.81 80.91 119.16 84.67 89.26
11.0 24.2 59.88 59.30 59.54 59.88 60.17 66.34 66.98 81.33 82.12 84.86 85.70 89.64 88.77 88.99 88.77 99.97 98.97 121.32 83.37 122.76 87.78 92.49
11.5 25.3 61.32 60.72 60.96 61.32 61.61 67.96 68.62 83.18 84.01 86.78 87.64 92.27 91.37 91.60 91.37 102.95 101.92 124.81 85.80 126.34 90.86 95.70
12.0 26.4 62.75 62.13 62.38 62.75 63.05 69.58 70.26 85.03 85.87 88.69 89.56 94.89 93.97 94.21 93.97 105.90 104.85 128.29 88.25 129.93 93.94 98.91
12.5 27.5 64.17 63.53 63.81 64.17 64.48 71.18 71.86 86.87 87.74 90.58 91.46 97.49 96.55 96.79 96.55 108.84 107.76 131.74 90.67 133.48 97.00 102.09
13.0 28.6 65.57 64.94 65.19 65.57 65.89 72.77 73.49 88.71 89.58 92.48 93.39 100.09 99.13 99.37 99.13 111.78 110.67 135.19 93.08 137.03 100.06 105.29
13.5 29.7 66.98 66.34 66.59 66.98 67.31 74.38 75.09 90.51 91.42 94.35 95.29 102.68 101.67 101.92 101.68 114.69 113.56 138.61 95.49 140.56 103.10 108.46
14.0 30.8 68.40 67.72 67.98 68.40 68.72 75.95 76.70 92.33 93.25 96.23 97.17 105.25 104.22 104.49 104.23 117.59 116.43 142.01 97.88 144.06 106.15 111.65
14.5 31.9 69.79 69.11 69.38 69.79 70.11 77.53 78.30 94.15 95.07 98.07 99.04 107.81 106.76 107.02 106.76 120.49 119.29 145.41 100.26 147.56 108.09 114.79
15.0 33.0 71.17 70.47 70.74 71.17 71.51 79.10 79.88 95.93 96.88 99.95 100.92 110.35 109.30 109.57 109.30 123.39 122.15 148.79 102.64 151.05 108.61 115.51
15.5 34.1 72.54 71.84 72.12 72.54 72.91 80.66 81.46 97.73 98.68 101.79 102.77 112.90 111.79 112.07 111.81 126.24 124.98 152.18 105.00 154.50 111.51 118.57
16.0 35.2 75.67 74.94 75.23 75.67 76.04 84.17 84.99 101.85 102.86 106.07 107.10 118.15 116.99 117.28 117.00 132.15 130.82 159.18 109.88 161.69 117.11 124.50
16.5 36.3 77.08 76.31 76.62 77.08 77.44 85.75 86.59 103.67 104.69 107.93 109.00 120.71 119.56 119.85 119.56 135.06 133.71 162.60 112.27 165.20 120.05 127.62
17.0 37.4 78.47 77.70 78.00 78.47 78.84 87.32 88.19 105.47 106.52 109.79 110.87 123.28 122.08 122.38 122.09 137.94 136.58 165.99 114.65 168.70 122.99 130.70
17.5 38.5 79.84 79.08 79.39 79.84 80.24 88.90 89.76 107.27 108.33 111.65 112.76 125.83 124.61 124.92 124.62 140.82 139.42 169.37 117.02 172.17 125.91 133.82
18.0 39.6 81.22 80.45 80.77 81.22 81.62 90.46 91.34 109.06 110.14 113.49 114.61 128.36 127.12 127.43 127.12 143.69 142.27 172.73 119.38 175.64 128.84 136.88
18.5 40.7 82.61 81.80 82.13 82.61 83.00 92.01 92.90 110.84 111.93 115.32 116.47 130.89 129.62 129.93 129.62 146.53 145.08 176.07 121.72 179.07 131.76 139.98
19.0 41.8 83.97 83.15 83.49 83.97 84.37 93.55 94.47 112.60 113.73 117.16 118.30 133.41 132.10 132.43 132.12 149.37 147.90 179.41 124.07 182.50 134.64 143.02
19.5 42.9 85.33 84.51 84.84 85.33 85.75 95.08 96.03 114.36 115.51 118.98 120.14 135.90 134.59 134.91 134.60 152.20 150.68 182.73 126.38 185.92 137.53 146.09
20.0 44.0 86.69 85.84 86.18 86.69 87.10 96.64 97.58 116.12 117.27 120.79 121.97 138.41 137.05 137.39 137.06 155.01 153.47 186.03 128.72 189.33 140.42 149.13
20.5 45.1 87.83 86.98 87.34 87.83 88.26 97.89 98.85 117.56 118.73 122.31 123.52 140.53 139.16 139.52 139.17 157.41 155.86 188.85 130.70 192.25 140.83 153.22
21.0 46.2 88.98 88.13 88.46 88.98 89.42 99.14 100.12 119.02 120.20 123.83 125.05 142.67 141.29 141.63 141.30 159.81 158.22 191.69 132.69 195.19 144.60 157.30
21.5 47.3 90.13 89.25 89.61 90.13 90.57 100.40 101.41 120.46 121.66 125.35 126.57 144.80 143.38 143.74 143.39 162.19 160.58 194.48 134.66 198.09 148.35 161.36
22.0 48.4 91.28 90.39 90.74 91.28 91.70 101.65 102.66 121.88 123.09 126.84 128.09 146.92 145.48 145.84 145.50 164.56 162.93 197.27 136.63 200.98 152.09 165.41
22.5 49.5 93.27 92.36 92.75 93.27 93.73 103.88 104.89 124.49 125.73 129.56 130.84 150.43 148.97 149.33 148.98 168.53 166.84 201.98 139.89 205.80 156.80 171.20
23.0 50.6 94.41 93.49 93.87 94.41 94.87 105.14 106.16 125.93 127.18 131.07 132.35 152.54 151.06 151.44 151.09 170.88 169.20 204.77 141.87 208.68 160.55 175.24
23.5 51.7 95.55 94.62 94.99 95.55 96.00 106.37 107.40 127.34 128.62 132.57 133.87 154.65 153.15 153.52 153.16 173.24 171.52 207.53 143.83 211.56 164.27 179.25
24.0 52.8 96.67 95.72 96.10 96.67 97.13 107.60 108.65 128.76 130.05 134.06 135.37 156.74 155.21 155.59 155.22 175.58 173.84 210.30 145.76 214.41 167.99 183.29
24.5 53.9 97.78 96.84 97.22 97.78 98.25 108.82 109.89 130.17 131.45 135.55 136.86 158.81 157.27 157.66 157.29 177.92 176.16 213.04 147.71 217.27 171.70 187.29
25.0 55.0 98.89 97.93 98.31 98.89 99.38 110.04 111.12 131.57 132.88 137.01 138.35 160.89 159.32 159.72 159.33 180.24 178.45 215.78 149.63 220.09 175.39 191.27
25.5 56.1 100.00 99.03 99.42 100.00 100.48 111.25 112.36 132.95 134.28 138.48 139.83 162.95 161.36 161.76 161.37 182.55 180.74 218.49 151.53 222.91 179.07 195.23
26.0 57.2 101.10 100.12 100.51 101.10 101.59 112.45 113.57 134.36 135.67 139.94 141.30 164.99 163.38 163.78 163.39 184.84 183.01 221.21 153.45 225.71 182.73 199.21
26.5 58.3 102.19 101.21 101.59 102.19 102.69 113.65 114.78 135.73 137.07 141.37 142.76 167.02 165.40 165.81 165.41 187.15 185.28 223.90 155.33 228.49 186.40 203.14
27.0 59.4 103.29 102.27 102.68 103.29 103.78 114.85 115.99 137.09 138.47 142.83 144.22 169.05 167.41 167.82 167.41 189.40 187.54 226.56 157.22 231.27 190.02 207.08
27.5 60.5 104.36 103.36 103.75 104.36 104.87 116.04 117.18 138.47 139.83 144.26 145.68 171.06 169.41 169.82 169.42 191.67 189.76 229.24 159.09 234.03 193.65 210.99
28.0 61.6 105.45 104.42 104.83 105.45 105.95 117.21 118.37 139.82 141.21 145.69 147.11 173.08 171.40 171.80 171.40 193.92 192.00 231.90 160.96 236.76 197.27 214.89
28.5 62.7 106.50 105.48 105.89 106.50 107.03 118.39 119.56 141.17 142.56 147.10 148.53 175.06 173.36 173.79 173.37 196.16 194.21 234.51 162.81 239.49 200.88 218.78
29.0 63.8 107.57 106.52 106.96 107.57 108.09 119.57 120.73 142.51 143.91 148.50 149.96 177.05 175.33 175.77 175.34 198.38 196.42 237.14 164.67 242.20 204.45 222.66
29.5 64.9 108.64 107.58 108.01 108.64 109.17 120.72 121.91 143.85 145.26 149.92 151.38 179.03 177.29 177.72 177.30 200.59 198.62 239.74 166.50 244.92 208.03 226.53
30.0 66.0 109.69 108.62 109.06 109.69 110.23 121.87 123.06 145.16 146.60 151.30 152.78 180.98 179.23 179.67 179.23 202.79 200.80 242.33 168.31 247.58 211.59 230.35
