(kg) (lb) A1 A2 A3 A4 A5 A6 B1 B2 B3 B4 B5 C1 C2 C3 C4 C5 D1 D2 D3 D4 D5 D6 D7
15.5 34.1 21.74 22.65 21.77 21.93 22.75 23.39 25.42 25.39 25.87 25.76 26.15 26.25 27.58 25.21 26.58 25.63 30.65 30.57 32.72 31.37 32.81 31.60 32.69
16.0 35.2 22.62 23.62 22.66 22.83 23.74 24.36 26.53 26.49 26.98 26.86 27.28 27.37 28.65 26.29 27.58 26.72 31.90 31.81 34.12 32.71 34.06 32.94 33.94
16.5 36.3 23.00 24.00 23.04 23.20 24.12 24.73 26.95 26.90 27.39 27.29 27.72 27.83 29.11 26.72 28.03 27.14 32.41 32.32 34.66 33.23 34.60 33.47 34.47
17.0 37.4 23.37 24.38 23.42 23.58 24.51 25.11 27.38 27.33 27.83 27.72 28.14 28.26 29.58 27.12 28.45 27.57 32.91 32.82 35.21 33.75 35.16 33.98 35.02
17.5 38.5 23.74 24.75 23.78 23.95 24.90 25.49 27.80 27.77 28.25 28.13 28.57 28.71 30.03 27.55 28.89 27.98 33.41 33.32 35.76 34.26 35.68 34.51 35.55
18.0 39.6 24.10 25.13 24.13 24.32 25.30 25.85 28.23 28.18 28.68 28.57 29.01 29.14 30.49 27.96 29.34 28.41 33.91 33.81 36.30 34.79 36.23 35.01 36.08
18.5 40.7 24.45 25.50 24.51 24.68 25.67 26.23 28.65 28.60 29.11 28.98 29.42 29.58 30.94 28.38 29.77 28.82 34.41 34.30 36.85 35.29 36.76 35.52 36.62
19.0 41.8 24.84 25.86 24.86 25.05 26.05 26.60 29.07 29.03 29.52 29.39 29.85 30.00 31.38 28.79 30.19 29.23 34.88 34.79 37.35 35.80 37.30 36.04 37.14
19.5 42.9 25.18 26.24 25.24 25.42 26.44 26.98 29.49 29.43 29.95 29.82 30.28 30.44 31.84 29.18 30.62 29.64 35.38 35.29 37.90 36.32 37.83 36.55 37.66
20.0 44.0 25.54 26.60 25.59 25.78 26.82 27.33 29.89 29.85 30.35 30.24 30.70 30.86 32.29 29.61 31.04 30.05 35.87 35.76 38.43 36.82 38.36 37.04 38.19
20.5 45.1 25.89 26.92 25.94 26.12 27.12 27.64 30.19 30.12 30.64 30.52 30.99 31.21 32.66 29.88 31.34 30.34 36.27 36.19 38.87 37.24 38.81 37.48 38.64
21.0 46.2 26.25 27.24 26.28 26.47 27.41 27.96 30.46 30.41 30.91 30.80 31.27 31.57 33.03 30.13 31.63 30.62 36.67 36.58 39.32 37.66 39.24 37.90 39.08
21.5 47.3 26.57 27.54 26.62 26.82 27.68 28.27 30.73 30.69 31.20 31.06 31.54 31.91 33.40 30.41 31.91 30.90 37.09 36.99 39.75 38.08 39.67 38.33 39.49
22.0 48.4 26.91 27.99 26.97 27.16 27.98 28.57 31.00 30.97 31.47 31.35 31.84 32.27 33.76 30.69 32.19 31.19 37.48 37.39 40.20 38.49 40.11 38.73 39.92
22.5 49.5 28.08 29.15 28.12 28.33 29.10 29.73 32.14 32.09 32.61 32.49 32.99 33.49 35.02 31.80 33.36 32.35 38.81 38.70 41.58 39.86 41.50 40.09 41.31
23.0 50.6 28.43 29.46 28.47 28.68 29.39 30.03 32.41 32.37 32.88 32.76 33.27 33.83 35.37 32.07 33.63 32.63 39.20 39.11 42.02 40.26 41.93 40.51 41.74
23.5 51.7 28.76 29.76 28.81 29.01 29.67 30.34 32.69 32.64 33.17 33.03 33.53 34.20 35.74 32.35 33.93 32.89 39.60 39.50 42.46 40.68 42.36 40.93 42.16
24.0 52.8 29.08 30.08 29.15 29.36 29.96 30.65 32.97 32.91 33.45 33.31 33.82 34.53 36.10 32.60 34.21 33.18 40.00 39.90 42.88 41.09 42.79 41.35 42.58
24.5 53.9 29.43 30.39 29.49 29.69 30.23 30.96 33.23 33.18 33.72 33.59 34.11 34.87 36.47 32.87 34.48 33.46 40.39 40.30 43.32 41.50 43.22 41.74 43.02
25.0 55.0 29.76 30.70 29.80 30.02 30.51 31.26 33.49 33.45 33.98 33.87 34.39 35.21 36.81 33.12 34.75 33.73 40.80 40.68 43.74 41.90 43.63 42.16 43.44
25.5 56.1 30.10 30.99 30.15 30.37 30.80 31.57 33.77 33.71 34.25 34.12 34.66 35.53 37.17 33.40 35.04 34.01 41.17 41.08 44.17 42.31 44.06 42.56 43.85
26.0 57.2 30.42 31.30 30.48 30.70 31.06 31.86 34.03 33.98 34.52 34.40 34.93 35.89 37.54 33.65 35.32 34.27 41.57 41.46 44.58 42.71 44.49 42.97 44.27
26.5 58.3 30.74 31.61 30.80 31.02 31.34 32.17 34.29 34.24 34.79 34.66 35.20 36.23 37.86 33.91 35.58 34.54 41.96 41.85 45.02 43.11 44.91 43.36 44.68
27.0 59.4 31.07 31.90 31.14 31.36 31.62 32.45 34.54 34.50 35.06 34.91 35.47 36.56 38.22 34.18 35.87 34.82 42.35 42.23 45.43 43.51 45.32 43.77 45.11
27.5 60.5 31.40 32.21 31.45 31.67 31.90 32.75 34.82 34.75 35.32 35.17 35.73 36.89 38.56 34.42 36.12 35.09 42.73 42.62 45.84 43.91 45.74 44.17 45.51
28.0 61.6 31.72 32.49 31.78 32.00 32.17 33.04 35.07 35.02 35.58 35.44 36.02 37.21 38.91 34.67 36.40 35.35 43.10 42.99 46.25 44.31 46.14 44.56 45.92
28.5 62.7 32.05 32.79 32.08 32.34 32.44 33.33 35.33 35.29 35.84 35.70 36.27 37.55 39.26 34.91 36.68 35.62 43.47 43.38 46.66 44.70 46.54 44.96 46.32
29.0 63.8 32.36 33.09 32.42 32.65 32.71 33.63 35.58 35.53 36.10 35.95 36.53 37.87 39.61 35.16 36.94 35.88 43.84 43.74 47.09 45.10 46.97 45.35 46.72
29.5 64.9 32.68 33.37 32.73 32.98 32.97 33.92 35.84 35.79 36.36 36.21 36.80 38.19 39.92 35.43 37.19 36.13 44.23 44.13 47.48 45.47 47.37 45.74 47.12
30.0 66.0 32.99 33.66 33.04 33.29 33.23 34.21 36.09 36.05 36.60 36.48 37.06 38.51 40.27 35.67 37.45 36.39 44.59 44.50 47.88 45.87 47.77 46.11 47.54
