(kg) (lb) A1 A2 A3 A4 A5 A6 B1 B2 B3 B4 B5 C1 C2 C3 C4 C5 D1 D2 D3 D4 D5 D6 D7
8.0 17.6 20.16 20.62 20.26 20.39 22.14 22.70 22.73 22.70 23.31 23.25 23.86 24.23 25.50 22.91 24.28 23.52 29.05 28.90 31.42 31.50 32.71 29.60 30.67
8.5 18.7 20.60 21.08 20.70 20.84 22.62 23.20 23.24 23.20 23.83 23.76 24.38 24.77 26.08 23.42 24.81 24.04 29.68 29.55 32.11 32.20 33.42 30.24 31.35
9.0 19.8 21.04 21.54 21.15 21.27 23.09 23.70 23.74 23.71 24.34 24.25 24.91 25.32 26.64 23.92 25.35 24.54 30.32 30.19 32.81 32.89 34.16 30.91 32.03
9.5 20.9 21.47 22.00 21.57 21.72 23.57 24.20 24.23 24.20 24.85 24.76 25.42 25.86 27.20 24.44 25.89 25.06 30.96 30.82 33.49 33.57 34.86 31.54 32.70
10.0 22.0 21.90 22.47 22.00 22.16 24.03 24.69 24.73 24.70 25.37 25.27 25.94 26.38 27.77 24.93 26.41 25.55 31.58 31.44 34.15 34.25 35.57 32.20 33.36
10.5 23.1 22.32 22.90 22.43 22.58 24.48 25.17 25.21 25.17 25.86 25.75 26.45 26.90 28.33 25.42 26.91 26.04 32.19 32.05 34.81 34.91 36.24 32.81 34.00
11.0 24.2 22.75 23.35 22.84 23.01 24.94 25.65 25.68 25.65 26.35 26.24 26.94 27.43 28.85 25.91 27.42 26.53 32.80 32.65 35.47 35.56 36.92 33.42 34.63
11.5 25.3 23.16 23.80 23.27 23.42 25.38 26.11 26.16 26.13 26.84 26.73 27.43 27.95 29.41 26.37 27.93 27.00 33.39 33.23 36.11 36.21 37.59 34.03 35.26
12.0 26.4 23.57 24.24 23.68 23.85 25.82 26.60 26.64 26.60 27.33 27.20 27.92 28.44 29.94 26.86 28.43 27.49 33.99 33.84 36.75 36.85 38.25 34.65 35.88
12.5 27.5 23.98 24.68 24.10 24.26 26.28 27.07 27.10 27.07 27.81 27.69 28.42 28.96 30.49 27.33 28.94 27.99 34.58 34.43 37.38 37.48 38.90 35.26 36.51
13.0 28.6 24.39 25.13 24.49 24.66 26.71 27.53 27.57 27.54 28.28 28.16 28.91 29.47 31.01 27.81 29.43 28.46 35.17 35.03 38.01 38.12 39.59 35.86 37.14
13.5 29.7 24.80 25.54 24.91 25.08 27.15 28.01 28.05 28.01 28.76 28.64 29.39 29.96 31.54 28.29 29.94 28.94 35.75 35.62 38.65 38.76 40.25 36.46 37.76
14.0 30.8 25.19 25.99 25.32 25.49 27.59 28.46 28.50 28.46 29.24 29.11 29.87 30.47 32.08 28.75 30.42 29.41 36.35 36.19 39.27 39.38 40.90 37.06 38.38
14.5 31.9 25.60 26.40 25.72 25.92 28.02 28.92 28.96 28.92 29.71 29.58 30.39 30.98 32.60 29.22 30.93 29.87 36.92 36.77 39.91 40.01 41.56 37.65 39.00
15.0 33.0 26.01 26.84 26.13 26.31 28.47 29.37 29.43 29.37 30.19 30.06 30.85 31.48 33.12 29.69 31.41 30.34 37.50 37.35 40.52 40.64 42.20 38.24 39.61
15.5 34.1 26.40 27.27 26.52 26.71 28.89 29.84 29.87 29.84 30.66 30.52 31.33 31.97 33.64 30.15 31.89 30.81 38.09 37.92 41.15 41.26 42.84 38.83 40.21
16.0 35.2 27.45 28.41 27.57 27.77 30.09 31.08 31.12 31.07 31.91 31.79 32.62 33.29 34.90 31.40 33.08 32.09 39.59 39.42 42.83 42.95 44.41 40.43 41.70
16.5 36.3 27.84 28.85 27.97 28.17 30.52 31.55 31.58 31.54 32.39 32.27 33.11 33.81 35.41 31.87 33.56 32.57 40.19 40.00 43.46 43.58 45.06 41.01 42.31
17.0 37.4 28.25 29.28 28.39 28.57 30.97 32.00 32.05 32.00 32.86 32.75 33.61 34.31 35.95 32.34 34.06 33.04 40.77 40.59 44.09 44.22 45.73 41.61 42.93
17.5 38.5 28.67 29.70 28.78 28.99 31.40 32.46 32.51 32.46 33.35 33.22 34.09 34.80 36.47 32.81 34.55 33.51 41.35 41.17 44.72 44.84 46.37 42.20 43.54
18.0 39.6 29.05 30.12 29.18 29.40 31.83 32.92 32.96 32.91 33.81 33.68 34.56 35.31 36.99 33.27 35.04 33.98 41.93 41.74 45.35 45.48 47.00 42.80 44.15
18.5 40.7 29.45 30.55 29.59 29.78 32.25 33.37 33.41 33.37 34.29 34.14 35.04 35.80 37.51 33.73 35.52 34.43 42.50 42.31 45.96 46.09 47.64 43.38 44.75
19.0 41.8 29.85 30.98 29.96 30.19 32.68 33.83 33.86 33.82 34.75 34.61 35.51 36.28 38.03 34.18 36.00 34.90 43.06 42.88 46.57 46.71 48.27 43.97 45.35
19.5 42.9 30.24 31.40 30.38 30.59 33.10 34.28 34.32 34.28 35.22 35.07 35.97 36.78 38.54 34.64 36.48 35.36 43.63 43.44 47.18 47.31 48.91 44.54 45.96
20.0 44.0 30.63 31.80 30.78 30.98 33.53 34.73 34.77 34.72 35.66 35.53 36.44 37.26 39.04 35.10 36.96 35.82 44.21 44.00 47.79 47.93 49.55 45.12 46.55
20.5 45.1 30.93 32.15 31.08 31.28 33.87 35.08 35.12 35.07 36.03 35.88 36.82 37.63 39.44 35.46 37.32 36.18 44.65 44.45 48.25 48.39 50.05 45.58 47.01
21.0 46.2 31.25 32.48 31.39 31.60 34.21 35.45 35.50 35.42 36.39 36.25 37.18 38.02 39.83 35.81 37.71 36.54 45.10 44.88 48.75 48.89 50.55 46.03 47.47
21.5 47.3 31.54 32.80 31.68 31.91 34.55 35.80 35.84 35.80 36.75 36.59 37.54 38.39 40.22 36.18 38.06 36.88 45.56 45.34 49.22 49.37 51.04 46.48 47.92
22.0 48.4 31.85 33.30 31.99 32.21 34.88 36.17 36.22 36.14 37.11 36.96 37.91 38.74 40.62 36.53 38.43 37.23 45.99 45.77 49.69 49.84 51.54 46.91 48.40
22.5 49.5 32.45 33.63 32.60 32.82 35.54 36.87 36.91 36.85 37.81 37.65 38.63 39.49 41.39 37.21 39.16 37.94 46.86 46.66 50.64 50.78 52.52 47.83 49.31
23.0 50.6 32.75 33.96 32.90 33.12 35.87 37.21 37.26 37.20 38.17 38.03 38.99 39.86 41.76 37.57 39.54 38.29 47.32 47.08 51.11 51.26 53.02 48.25 49.77
23.5 51.7 33.05 34.28 33.19 33.43 36.20 37.57 37.61 37.57 38.53 38.37 39.35 40.23 42.15 37.92 39.89 38.66 47.75 47.55 51.57 51.72 53.51 48.71 50.22
24.0 52.8 33.35 34.60 33.50 33.73 36.52 37.92 37.98 37.91 38.86 38.73 39.71 40.60 42.53 38.25 40.28 39.01 48.20 47.97 52.04 52.19 54.00 49.14 50.69
24.5 53.9 33.65 34.91 33.79 34.03 36.85 38.25 38.33 38.26 39.22 39.07 40.06 40.96 42.92 38.59 40.64 39.35 48.62 48.40 52.52 52.67 54.50 49.60 51.13
25.0 55.0 33.94 35.24 34.09 34.32 37.18 38.62 38.67 38.62 39.57 39.41 40.40 41.31 43.31 38.96 40.99 39.70 49.07 48.83 52.99 53.13 54.96 50.02 51.57
25.5 56.1 34.22 35.55 34.37 34.62 37.49 38.97 39.01 38.96 39.91 39.76 40.76 41.68 43.67 39.30 41.35 40.03 49.49 49.25 53.44 53.59 55.45 50.46 52.03
26.0 57.2 34.51 35.86 34.67 34.92 37.81 39.31 39.35 39.30 40.25 40.09 41.11 42.03 44.06 39.63 41.70 40.37 49.92 49.69 53.90 54.05 55.93 50.89 52.46
26.5 58.3 34.81 36.20 34.95 35.21 38.13 39.64 39.69 39.63 40.60 40.44 41.45 42.39 44.42 39.98 42.05 40.71 50.34 50.10 54.34 54.50 56.39 51.31 52.91
27.0 59.4 35.08 36.51 35.24 35.49 38.45 39.99 40.04 39.99 40.94 40.77 41.82 42.75 44.78 40.31 42.39 41.06 50.77 50.52 54.81 54.96 56.86 51.73 53.34
27.5 60.5 35.37 36.81 35.53 35.78 38.78 40.33 40.38 40.31 41.27 41.11 42.15 43.09 45.15 40.63 42.74 41.39 51.18 50.94 55.24 55.40 57.35 52.16 53.79
28.0 61.6 35.66 37.11 35.82 36.08 39.09 40.65 40.70 40.65 41.61 41.45 42.50 43.43 45.51 40.97 43.09 41.73 51.60 51.36 55.69 55.86 57.81 52.59 54.23
28.5 62.7 35.93 37.44 36.10 36.36 39.40 40.99 41.05 40.99 41.94 41.77 42.83 43.80 45.88 41.28 43.45 42.05 52.02 51.77 56.15 56.31 58.28 53.00 54.65
29.0 63.8 36.23 37.74 36.38 36.63 39.71 41.32 41.37 41.31 42.27 42.11 43.18 44.14 46.26 41.61 43.79 42.39 52.43 52.17 56.56 56.73 58.73 53.43 55.09
29.5 64.9 36.50 38.03 36.67 36.92 40.02 41.66 41.70 41.66 42.60 42.44 43.51 44.47 46.61 41.96 44.11 42.73 52.86 52.58 57.02 57.18 59.20 53.84 55.50
30.0 66.0 36.77 38.33 36.96 37.20 40.32 41.99 42.05 41.97 42.93 42.76 43.85 44.82 46.97 42.28 44.45 43.04 53.26 52.98 57.45 57.61 59.65 54.25 55.93
30.1 66.1 0.3 0.33 0.31 0.31 0.34 0.36 0.36 0.35 0.36 0.36 0.36 0.37 0.39 0.36 0.37 0.36 0.43 0.43 0.48 0.48 0.50 0.44 0.45
