(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5 J1 J2
11.5 25.3 27.66 27.39 27.54 27.66 27.80 28.80 29.07 32.96 33.27 33.93 34.26 32.99 32.68 32.75 32.67 35.72 35.38 41.69 31.34 42.80 67.08 78.89
12.0 26.4 28.21 27.94 28.10 28.21 28.36 29.37 29.65 33.57 33.92 34.59 34.91 33.72 33.41 33.48 33.41 36.51 36.15 42.60 32.03 43.73 69.22 81.50
12.5 27.5 28.76 28.49 28.63 28.76 28.91 29.94 30.24 34.22 34.55 35.22 35.57 34.45 34.11 34.20 34.11 37.29 36.92 43.50 32.72 44.64 71.36 84.08
13.0 28.6 29.32 29.04 29.18 29.32 29.46 30.52 30.81 34.85 35.17 35.87 36.20 35.16 34.83 34.90 34.83 38.08 37.71 44.37 33.41 45.57 73.47 86.66
13.5 29.7 29.86 29.58 29.71 29.86 30.00 31.09 31.40 35.46 35.80 36.52 36.86 35.88 35.53 35.62 35.53 38.85 38.48 45.26 34.09 46.48 75.59 89.25
14.0 30.8 30.40 30.11 30.25 30.40 30.55 31.67 31.98 36.07 36.42 37.15 37.50 36.59 36.23 36.33 36.24 39.63 39.24 46.14 34.76 47.39 77.70 91.80
14.5 31.9 30.94 30.64 30.79 30.94 31.08 32.24 32.54 36.69 37.04 37.78 38.14 37.30 36.93 37.02 36.93 40.40 39.99 47.02 35.43 48.28 79.80 94.38
15.0 33.0 31.48 31.18 31.63 31.48 31.62 32.80 33.13 37.30 37.66 38.41 38.79 38.00 37.64 37.73 37.64 41.16 40.76 47.89 36.10 49.18 81.91 96.92
15.5 34.1 32.02 31.72 32.16 32.02 32.17 33.37 33.69 37.91 38.28 39.05 39.42 38.71 38.33 38.43 38.33 41.93 41.52 48.76 36.78 50.09 83.99 99.46
16.0 35.2 33.30 33.00 33.46 33.30 33.47 34.72 35.06 39.43 39.80 40.61 41.00 40.34 39.94 40.05 39.94 43.69 43.27 50.79 38.32 52.18 88.10 104.41
16.5 36.3 33.86 33.54 34.02 33.86 34.02 35.28 35.64 40.04 40.43 41.24 41.64 41.03 40.65 40.75 40.65 44.46 44.05 51.67 38.98 53.07 90.23 106.99
17.0 37.4 34.40 34.06 34.57 34.40 34.56 35.84 36.21 40.65 41.06 41.88 42.30 41.76 41.36 41.46 41.35 45.25 44.80 52.55 39.68 53.98 92.35 109.58
17.5 38.5 34.93 34.60 35.10 34.93 35.10 36.42 36.76 41.27 41.66 42.51 42.92 42.46 42.06 42.15 42.05 46.00 45.57 53.41 40.34 54.88 94.46 112.13
18.0 39.6 35.47 35.14 35.64 35.47 35.65 36.98 37.32 41.88 42.28 43.15 43.56 43.17 42.74 42.86 42.74 46.78 46.33 54.28 41.00 55.77 96.56 114.71
18.5 40.7 36.00 35.67 36.17 36.00 36.16 37.53 37.89 42.48 42.89 43.77 44.18 43.87 43.44 43.55 43.44 47.54 47.07 55.15 41.67 56.66 98.67 117.25
19.0 41.8 36.53 36.17 36.70 36.53 36.70 38.08 38.45 43.08 43.50 44.39 44.81 44.56 44.13 44.23 44.12 48.29 47.83 56.00 42.34 57.55 100.76 119.80
19.5 42.9 37.04 36.70 37.23 37.04 37.23 38.65 39.01 43.68 44.10 45.02 45.45 45.26 44.82 44.93 44.81 49.05 48.56 56.87 42.99 58.43 102.84 122.32
20.0 44.0 37.57 37.22 37.76 37.57 37.76 39.20 39.56 44.29 44.70 45.62 46.08 45.94 45.50 45.60 45.50 49.79 49.32 57.71 43.65 59.32 104.92 124.83
20.5 45.1 38.02 37.64 38.18 38.02 38.19 39.63 40.01 44.79 45.22 46.14 46.58 46.52 46.08 46.18 46.08 50.43 49.94 58.47 44.20 60.08 108.57 128.42
21.0 46.2 38.43 38.07 38.62 38.43 38.62 40.09 40.46 45.30 45.75 46.67 47.11 47.10 46.64 46.77 46.65 51.05 50.56 59.22 44.74 60.84 112.21 131.99
21.5 47.3 38.86 38.49 39.05 38.86 39.04 40.50 40.91 45.81 46.25 47.18 47.63 47.67 47.20 47.33 47.23 51.67 51.17 59.96 45.29 61.62 115.86 135.54
22.0 48.4 39.28 38.91 39.47 39.28 39.47 40.96 41.34 46.31 46.76 47.68 48.16 48.24 47.79 47.89 47.79 52.30 51.80 60.72 45.83 62.36 119.47 139.06
22.5 49.5 40.65 40.26 40.65 40.65 40.82 42.34 42.74 47.82 48.29 49.23 49.69 49.85 49.37 49.72 49.37 53.98 53.48 62.60 47.38 64.30 123.08 143.30
23.0 50.6 41.07 40.68 41.06 41.07 41.26 42.78 43.18 48.33 48.79 49.74 50.21 50.42 49.94 50.29 49.93 54.61 54.08 63.34 47.92 65.03 126.67 146.84
23.5 51.7 41.49 41.10 41.48 41.49 41.68 43.20 43.61 48.84 49.28 50.25 50.73 50.98 50.49 50.85 50.49 55.23 54.70 64.08 48.47 65.79 130.26 150.35
24.0 52.8 41.89 41.51 41.89 41.89 42.11 43.64 44.05 49.32 49.80 50.75 51.25 51.54 51.06 51.43 51.06 55.83 55.30 64.82 49.00 66.55 133.84 153.86
24.5 53.9 42.32 41.93 42.32 42.32 42.52 44.06 44.48 49.82 50.29 51.27 51.75 52.12 51.61 51.99 51.61 56.45 55.91 65.55 49.54 67.29 137.39 157.35
25.0 55.0 42.73 42.33 42.73 42.73 42.92 44.51 44.93 50.31 50.78 51.76 52.27 52.68 52.16 52.55 52.17 57.05 56.50 66.27 50.07 68.03 140.92 160.82
25.5 56.1 43.15 42.73 43.15 43.15 43.34 44.93 45.36 50.80 51.29 52.27 52.75 53.22 52.72 53.11 52.71 57.66 57.10 67.00 50.59 68.78 144.46 164.30
26.0 57.2 43.55 43.14 43.54 43.55 43.75 45.36 45.77 51.30 51.78 52.75 53.26 53.78 53.28 53.65 53.28 58.27 57.69 67.70 51.12 69.50 147.99 167.76
26.5 58.3 43.95 43.55 43.95 43.95 44.17 45.76 46.20 51.78 52.28 53.24 53.76 54.34 53.82 54.20 53.82 58.86 58.29 68.44 51.65 70.24 151.51 171.20
27.0 59.4 44.36 43.94 44.37 44.36 44.56 46.19 46.62 52.28 52.77 53.74 54.25 54.89 54.36 54.75 54.37 59.45 58.88 69.16 52.16 70.95 154.99 174.65
27.5 60.5 44.76 44.34 44.76 44.76 44.96 46.60 47.04 52.74 53.24 54.22 54.74 55.42 54.90 55.29 54.91 60.05 59.46 69.86 52.68 71.68 158.48 178.07
28.0 61.6 45.15 44.74 45.16 45.15 45.38 47.00 47.46 53.22 53.73 54.72 55.24 55.96 55.42 55.83 55.42 60.64 60.05 70.57 53.19 72.41 161.97 181.48
28.5 62.7 45.57 45.12 45.56 45.57 45.76 47.43 47.86 53.70 54.20 55.21 55.72 56.50 55.96 56.38 55.96 61.23 60.63 71.26 53.71 73.11 165.42 184.88
29.0 63.8 45.95 45.52 45.95 45.95 46.17 47.82 48.29 54.17 54.69 55.66 56.21 57.04 56.49 56.91 56.49 61.80 61.22 71.95 54.22 73.84 168.87 188.27
29.5 64.9 46.34 45.91 46.34 46.34 46.57 48.24 48.69 54.64 55.15 56.16 56.69 57.57 57.02 57.44 57.03 62.38 61.78 72.65 54.72 74.53 172.30 191.64
30.0 66.0 46.75 46.29 46.74 46.75 46.95 48.64 49.09 55.10 55.62 56.63 57.16 58.11 57.55 57.97 57.56 62.96 62.34 73.34 55.23 75.22 175.72 195.00
30.1 66.1 0.41 0.41 0.41 0.41 0.41 0.42 0.42 0.50 0.52 0.52 0.52 0.58 0.57 0.57 0.56 0.63 0.63 0.76 0.55 0.78 3.64 3.68
